temperature_2m,relative_humidity_2m,precipitation,windspeed_10m,weathercode,hour,is_daytime,feels_like_temp,day_of_week_encoded,weather_Clear,weather_Foggy,weather_Light Rain,weather_Mainly Clear,weather_Overcast,weather_Partly Cloudy,weather_Showers,weather_Unknown,temperature_2m_zscore,relative_humidity_2m_zscore,precipitation_zscore,windspeed_10m_zscore,feels_like_temp_zscore,temperature_2m_minmax,relative_humidity_2m_minmax,precipitation_minmax,windspeed_10m_minmax,feels_like_temp_minmax
15.4,78.0,0.0,11.45,51,16,1,14.92,4,False,False,False,False,False,False,False,True,-0.7954266724393819,0.9354404027667877,0.0,-0.049589469369148924,-0.7310178046210132,0.27499999999999997,0.7162162162162163,0.0,0.43610547667342797,0.30174989329918905
16.1,73.0,0.0,11.45,3,17,1,15.44,4,False,False,False,False,True,False,False,False,-0.6808078984594014,0.6828243187269524,0.0,-0.049589469369148924,-0.6189633251736818,0.3000000000000001,0.6486486486486487,0.0,0.43610547667342797,0.32394366197183094
20.257831325301208,64.0,0.0,3.8,3,18,1,18.78,4,False,False,False,False,True,False,False,False,5.817252659514562e-16,0.22811536745524885,0.0,-1.3839265347588459,0.10077121589187102,0.44849397590361456,0.5270270270270271,0.0,0.1257606490872211,0.4664959453691849
17.2,59.484939759036145,0.0,3.3,3,19,1,16.03,4,False,False,False,False,True,False,False,False,-0.5006926822051468,0.0,0.0,-1.4711381076601333,-0.49182458887767067,0.33928571428571425,0.4660126994464344,0.0,0.10547667342799188,0.3491250533504055
16.8,65.0,0.0,2.2,3,20,1,15.85,4,False,False,False,False,True,False,False,False,-0.566189124479421,0.2786385842632159,0.0,-1.6630035680429651,-0.530612677917132,0.325,0.5405405405405406,0.0,0.06085192697768764,0.3414425949637217
16.5,64.0,0.0,3.0,3,21,0,15.56,4,False,False,False,False,True,False,False,False,-0.6153114561851271,0.22811536745524885,0.0,-1.5234650514009056,-0.5931045991473743,0.31428571428571433,0.5270270270270271,0.0,0.09330628803245436,0.3290653008962869
16.2,61.0,0.0,11.45,3,22,0,15.23,4,False,False,False,False,True,False,False,False,-0.6644337878908331,0.07654571703134767,0.0,-0.049589469369148924,-0.6642160957197193,0.30357142857142855,0.4864864864864865,0.0,0.43610547667342797,0.31498079385403327
15.6,60.0,0.0,5.9,3,23,0,14.7,4,False,False,False,False,True,False,False,False,-0.7626784513022448,0.026022500223380613,0.0,-1.0176379285734387,-0.7784254690025767,0.2821428571428571,0.472972972972973,0.0,0.2109533468559838,0.2923602219376867
15.5,58.0,0.0,6.2,3,0,0,14.58,0,False,False,False,False,True,False,False,False,-0.7790525618708134,-0.0750239333925535,0.0,-0.9653109848326663,-0.8042841950288838,0.2785714285714285,0.44594594594594594,0.0,0.2231237322515213,0.28723858301323096
15.4,57.0,0.0,7.6,3,1,0,14.47,0,False,False,False,False,True,False,False,False,-0.7954266724393819,-0.12554715020052057,0.0,-0.7211185807090617,-0.8279880272196654,0.27499999999999997,0.43243243243243246,0.0,0.2799188640973631,0.2825437473324797
15.2,56.0,0.0,9.8,3,2,0,14.28,0,False,False,False,False,True,False,False,False,-0.8281748935765194,-0.17607036700848763,0.0,-0.33738765994339703,-0.8689310100946521,0.26785714285714285,0.41891891891891897,0.0,0.3691683569979717,0.27443448570209134
14.9,56.0,0.0,9.4,3,3,0,14.04,0,False,False,False,False,True,False,False,False,-0.8772972252822251,-0.17607036700848763,0.0,-0.407156918264427,-0.9206484621472667,0.2571428571428572,0.41891891891891897,0.0,0.35294117647058826,0.2641912078531797
14.7,56.0,0.0,10.6,3,4,0,13.87,0,False,False,False,False,True,False,False,False,-0.9100454464193626,-0.17607036700848763,0.0,-0.1978491433013374,-0.9572816573512021,0.24999999999999994,0.41891891891891897,0.0,0.40162271805273836,0.2569355527102006
14.3,56.0,0.0,13.4,3,5,0,13.54,0,False,False,False,False,True,False,False,False,-0.9755418886936368,-0.17607036700848763,0.0,0.2905356649458721,-1.0283931539235471,0.2357142857142857,0.41891891891891897,0.0,0.515212981744422,0.24285104566794707
13.8,55.0,0.0,14.7,3,6,1,13.12,0,False,False,False,False,True,False,False,False,-1.05741244153648,-0.2265935838164547,0.0,0.5172857544892191,-1.1188986950156226,0.21785714285714292,0.4054054054054055,0.0,0.5679513184584178,0.22492530943235162
